Janela,address,tipo
Khamenei_2_Choque,0xa7c07de4c2625ed832cff551c7ed194fb4748648,auth
Khamenei_2_Choque,0x9ae2f855d7e29e65eec47b30019b0da5dd444f90,auth
Khamenei_2_Choque,0x881c8f0ca23edabf7834fddeb603644480a89698,auth
Khamenei_2_Choque,0x03717ea9e88b62c86dc0e791428e0a6ba8016430,auth
Khamenei_2_Choque,0x9f85c6553a71bd4f315bd119c45fb3006a6683d5,auth
Khamenei_2_Choque,0x224fdacbd939f3956dcc65eadd99d0d3b5463d3e,auth
Khamenei_2_Choque,0xa3a665c346ab440b461c8078e828c5b2e94fbc5a,auth
Khamenei_3_Depois,0x11950d141ecb863f01007add7d1a342041227b58,hub
Khamenei_3_Depois,0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,hub
Khamenei_3_Depois,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,hub
Khamenei_3_Depois,0xb2170202b050f0549b9d9733f8258bc917346f98,hub
Khamenei_3_Depois,0xf89d7b9c864f589bbf53a82105107622b35eaa40,hub
Khamenei_3_Depois,0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,hub
Khamenei_3_Depois,0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,hub
Khamenei_3_Depois,0x9642b23ed1e01df1092b92641051881a322f5d4e,hub
Khamenei_3_Depois,0x58edf78281334335effa23101bbe3371b6a36a51,hub
Khamenei_3_Depois,0x2d880ccc788aaa6dbdeaad3b585f8c533c6be54c,auth
Khamenei_3_Depois,0x7ecad83c191d09ee764cc6d7e1580a102445f6d0,auth
Khamenei_3_Depois,0x44fa9ed3d2c105d0f566fdf225b98fff8e9c9eac,auth
Khamenei_3_Depois,0x3f5e2ba8082730c42612534f38c2fd3a28b8f3ef,auth
Khamenei_3_Depois,0x8eaacd674d9a0f5160991671ebc9c64b5df558e6,auth
Khamenei_3_Depois,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,auth
Khamenei_3_Depois,0xeff6cb8b614999d130e537751ee99724d01aa167,auth
Khamenei_3_Depois,0xda90fb313475715f4391b253548526a787222bf7,auth
Khamenei_3_Depois,0xe4aa002d49faf0e62b923c924aac54c25702332b,auth
Khamenei_3_Depois,0x44fee18f6c2dc25eb211f8153a7d835e48a4bacb,auth
Khamenei_3_Depois,0x51c72848c68a965f66fa7a88855f9f7784502a7f,auth
Khamenei_3_Depois,0x1d62eaf84d00b22d80fd5a9660285823d365f01f,auth
Khamenei_3_Depois,0x224fdacbd939f3956dcc65eadd99d0d3b5463d3e,auth
Khamenei_3_Depois,0x6ab9acf289b726d6d991c1511a6154c770648957,auth
